requirement_id,category,requirement_summary,implementation_artifact,verification_artifact,status,notes
FR-1.1,Intent Classification,Use controlled seven-intent vocabulary,src/schemas.py; src/agent.py,tests/test_evaluation.py; tests/test_agent_step15.py; tests/test_agent_step16.py; evals/golden_cases.json,PARTIAL,All seven controlled intents are exercised in the deterministic development build; real model integration remains
FR-1.2,Intent Classification,Return confidence from 0 to 1,src/schemas.py; src/agent.py,tests/test_agent_step8.py,PARTIAL,Structured confidence implemented with deterministic development classifier
FR-1.3,Intent Classification,Escalate below configured confidence threshold,src/policy.py; config/policy.yaml,tests/test_policy.py,IMPLEMENTED,Deterministic threshold enforcement
FR-1.4,Intent Classification,Support secondary intents and policy precedence,src/schemas.py; src/agent.py; config/policy.yaml,tests/test_evaluation.py,PARTIAL,Precedence implemented in development classifier
FR-1.5,Intent Classification,UNCLEAR always escalates,src/policy.py; src/agent.py,tests/test_policy.py; tests/test_agent_step16.py; evals/golden_cases.json,IMPLEMENTED,UNCLEAR routes through deterministic FR-1.5 escalation with zero tool calls and no fabricated risk or proposal
FR-2.1,Evidence,Do not assert invoice or payment facts without tool retrieval,src/tools.py; src/agent.py,tests/test_step9.py; tests/test_agent_step12.py; tests/test_agent_step14.py,PARTIAL,"Implemented for delivery, already-paid, payment-plan, promise-to-pay, and amount-dispute vertical slices; remaining branches open."
FR-2.2,Evidence,DELIVERY_DISPUTE must invoke verify_invoice_delivery,src/tools.py; src/agent.py,tests/test_evaluation.py,IMPLEMENTED,Active golden cases verify required tool
FR-2.3,Evidence,ALREADY_PAID_CLAIM must invoke reconcile_payment_claim,src/tools.py; src/agent.py,tests/test_agent_step11.py; evals/golden_cases.json,IMPLEMENTED,Already-paid branch invokes deterministic ledger reconciliation before proposing action
FR-2.4,Evidence,PAYMENT_PLAN_REQUEST must invoke get_payment_history and get_risk_score,src/tools.py; src/agent.py,tests/test_agent_step12.py; evals/golden_cases.json,IMPLEMENTED,Payment-plan branch retrieves payment history and trusted risk before proposing terms
FR-2.5,Evidence,Maximum tool calls per decision defaults to eight,src/tool_guard.py; config/policy.yaml,tests/test_step9.py,IMPLEMENTED,Guard blocks calls beyond configured limit
FR-2.6,Evidence,Identical tool and identical arguments may occur at most twice,src/tool_guard.py,tests/test_step9.py,IMPLEMENTED,Third identical call blocked
FR-2.7,Evidence,Required tool error or no result causes escalation,src/tool_guard.py; src/agent.py,tests/test_step9.py,IMPLEMENTED,Current required-tool path fails closed
FR-2.8,Evidence,Record every tool call and result with an identifier,src/tools.py; src/audit.py,tests/test_step9.py,IMPLEMENTED,Tool calls linked to decision_id and persisted
FR-3.1,Risk,Obtain risk score through tool before autonomous action,src/tools.py; src/agent.py,tests/test_evaluation.py; tests/test_agent_step12.py; tests/test_agent_step14.py,PARTIAL,"Trusted risk retrieval is implemented in delivery, already-paid, payment-plan, promise-to-pay, and amount-dispute slices; remaining intent branches are open."
FR-3.2,Risk,LLM must not generate substitute risk score,src/agent.py,tests/test_evaluation.py,IMPLEMENTED,Trusted risk injected from tool result
FR-3.3,Risk,Policy decisions use risk band rather than raw score,src/policy.py; config/policy.yaml,tests/test_policy.py,PARTIAL,Payment-plan policy uses risk band; broader rules remain
FR-3.4,Risk,Missing or stale risk defaults to highest risk band,config/policy.yaml; src/policy.py; src/agent.py,tests/test_agent_step17.py,IMPLEMENTED,Centralized resolver preserves fresh risk; missing or stale risk defaults to the configured highest band while tool errors remain FR-2.7 operational escalations
FR-3.5,Risk,Include top contributing factors in escalation,src/audit.py,tests/test_step9.py,IMPLEMENTED,EscalationPacket includes factors when risk exists
FR-4.1,Action Selection,Use controlled seven-action vocabulary,src/schemas.py,tests/test_agent_step8.py,IMPLEMENTED,ActionType enum implemented
